fecha,Sucursal,bodega,sector,tipo,venta_neta,lineas,facturas
2024-10-01,Medellín,1,Hidrocarburo,historico,42012493.85,69.0,27.0
2024-11-01,Medellín,1,Hidrocarburo,historico,88094640.82,79.0,36.0
2024-12-01,Medellín,1,Hidrocarburo,historico,133427760.3,94.0,50.0
2025-01-01,Medellín,1,Hidrocarburo,historico,219639892.35,153.0,53.0
2025-02-01,Medellín,1,Hidrocarburo,historico,125299420.12,138.0,67.0
2025-03-01,Medellín,1,Hidrocarburo,historico,939085352.0699999,130.0,64.0
2025-04-01,Medellín,1,Hidrocarburo,historico,317808595.73,64.0,31.0
2025-05-01,Medellín,1,Hidrocarburo,historico,659484928.02,116.0,69.0
2025-06-01,Medellín,1,Hidrocarburo,historico,531098006.8,138.0,71.0
2025-07-01,Medellín,1,Hidrocarburo,historico,309267096.21,153.0,64.0
2025-08-01,Medellín,1,Hidrocarburo,historico,138544068.32,206.0,85.0
2025-09-01,Medellín,1,Hidrocarburo,historico,261754738.99,154.0,78.0
2025-10-01,Medellín,1,Hidrocarburo,historico,101344183.37,147.0,68.0
2025-11-01,Medellín,1,Hidrocarburo,historico,333373959.03,135.0,50.0
2025-12-01,Medellín,1,Hidrocarburo,historico,420334202.42,131.0,49.0
2026-01-01,Medellín,1,Hidrocarburo,historico,250410538.24,142.0,42.0
2026-02-01,Medellín,1,Hidrocarburo,historico,170065728.22,156.0,56.0
2026-03-01,Medellín,1,Hidrocarburo,historico,127360005.8,113.0,39.0
2026-04-01,Medellín,1,Hidrocarburo,historico,-3635119.0,157.0,42.0
2024-01-01,Medellín,1,IT/Communication,historico,368832.0,4.0,3.0
2024-02-01,Medellín,1,IT/Communication,historico,3761658.0,10.0,5.0
2024-03-01,Medellín,1,IT/Communication,historico,1331554.0,9.0,5.0
2024-04-01,Medellín,1,IT/Communication,historico,763607.0,8.0,4.0
2024-05-01,Medellín,1,IT/Communication,historico,1697308.0,12.0,8.0
2024-06-01,Medellín,1,IT/Communication,historico,5587325.0,11.0,4.0
2024-07-01,Medellín,1,IT/Communication,historico,2033454.0,19.0,9.0
2024-08-01,Medellín,1,IT/Communication,historico,2740680.0,10.0,4.0
2024-09-01,Medellín,1,IT/Communication,historico,1027200.0,6.0,5.0
2024-10-01,Medellín,1,IT/Communication,historico,1246445.0,5.0,5.0
